시도명,시군구명,대상지명칭,대상지주소,운동기구(점),
서울특별시,마포구,망원유수지 내,망원동 460번지,56,
서울특별시,마포구,망원동 쌈지마당,망원동 451-1,14,
서울특별시,마포구,망원1동 공영주차장,망원동 403-2,3,
서울특별시,마포구,망원정마당,망원동 457-1,6,
서울특별시,마포구,성산빗물펌프장 야외운동기구,성산동 445,2,
서울특별시,마포구,망원2체육시설,망원2동 450-1,6,
서울특별시,마포구,홍제천체육시설,홍제천,71,
서울특별시,마포구,불광천체육시설,불광천,60,
서울특별시,마포구,성산임대아파트 게이트볼장 옆,성산동 341-2,3,
서울특별시,마포구,성산동 마을마당,성산동 398-2,4,
서울특별시,마포구,성산동 초록숲,성산동 임대아파트 102동 앞,4,
서울특별시,마포구,사천고가밑~아이파크 앞,성산2동 117-1,6,
서울특별시,마포구,연남동 체육시설,연남동 243,19,
서울특별시,마포구,상암교회 옆,상암동 444-2,7,
서울특별시,마포구,향동천체육시설,향동천,16,
서울특별시,마포구,매봉산체육시설,매봉산 정상,18,
서울특별시,마포구,서교동 마을마당,서교동 454-1,6,
서울특별시,마포구,걷고싶은거리,서교동 365-26,3,
서울특별시,마포구,창전동 마을마당,창전동 443-1,4,
서울특별시,마포구,창전동 보호수 정자마당,창전동 445,7,
서울특별시,마포구,상수동 두산 마을마당,상수동 396-1,3,
서울특별시,마포구,상수동 보호수 쉼터,상수동 262-3,5,
서울특별시,마포구,신수동 경남아너스빌,신수동 456-1,5,
서울특별시,마포구,광성고 앞 쉼터,신수동 89-24,7,
서울특별시,마포구,신수동 세양청마루 옆,신수동 451,5,
서울특별시,마포구,대흥동 쉼터,대흥동 759,9,
서울특별시,마포구,대흥동 마을마당,대흥동 27-10,3,
서울특별시,마포구,이대 녹지쉼터,대흥동 2-1,5,
서울특별시,마포구,염리치안센터,염리동 85-1,2,
서울특별시,마포구,노고산공원,노고산동 25-1,10,
서울특별시,마포구,서강대교복단 교각하부,서강동,11,
서울특별시,마포구,현석동 마을마당,현석동 164-1,7,
서울특별시,마포구,도화2공원 쉼터,도화동 353-7,17,
서울특별시,마포구,만리재 체육시설,공덕동 3-53,3,
서울특별시,마포구,법원 옆 쉼터,공덕동 105-259,9,
서울특별시,마포구,아현동 마을정원,아현동,3,
서울특별시,마포구,만리배수지,아현동 87-7,13,
서울특별시,마포구,아현녹지,아현동 704,16,
서울특별시,마포구,아현초교 정문,아현동 354-23,4,
서울특별시,마포구,애오개 쉼터,아현동 734,5,
서울특별시,마포구,아현실버복지관,아현교차로옆,4,
서울특별시,마포구,성산동 야외운동기구,성산동 133-1,3,
