공원명,공원구분,운동기구설치주소,위도,경도,설치운동기구종류,관리기관명,전화번호
효창근린공원,근린공원,서울특별시 용산구 효창동 255,37.54427576,126.9592563,하늘걷기 등 16종,용산구청 공원녹지과,02-2199-7594
응봉근린공원,근린공원,서울특별시 용산구 한남동 산 8-1,37.54498748,127.0053039,옆파도타기 등 12종,용산구청 공원녹지과,02-2199-7594
신계역사공원,역사공원,서울특별시 용산구 신계동 55,37.5350837,126.966286,온몸근육풀기 등 7종,용산구청 공원녹지과,02-2199-7605
새나라어린이공원,어린이공원,서울특별시 용산구 후암동 190-1,37.54788697,126.9765774,공중걷기 등 9종,용산구청 공원녹지과,02-2199-7605
삼각지어린이공원,어린이공원,서울특별시 용산구 용산동3가 1-96,37.53440608,126.9753924,마라톤운동 등 6종,용산구청 공원녹지과,02-2199-7605
두텁바위어린이공원,어린이공원,서울특별시 용산구 동자동 50,37.55205433,126.9729442,크로스컨트리 등 5종,용산구청 공원녹지과,02-2199-7605
늘푸른어린이공원,어린이공원,서울특별시 용산구 원효로3가 1-139,37.53479103,126.9565593,양팔줄당기기 등 9종,용산구청 공원녹지과,02-2199-7605
청파어린이공원,어린이공원,서울특별시 용산구 서계동 226-3,37.55354582,126.9683175,어깨근육풀기 등 12종,용산구청 공원녹지과,02-2199-7605
동자어린이공원,어린이공원,서울특별시 용산구 동자동 24-11,37.55008973,126.9739444,허리돌리기 등 3종,용산구청 공원녹지과,02-2199-7605
소월길어린이공원,어린이공원,서울특별시 용산구 이태원동 463,37.54356278,126.9892426,허리돌리기 등 5종,용산구청 공원녹지과,02-2199-7605
효창어린이공원,어린이공원,서울특별시 용산구 효창동 5-712,37.54279186,126.9585527,온몸돌리기 등 3종,용산구청 공원녹지과,02-2199-7605
이태원어린이공원,어린이공원,서울특별시 용산구 이태원동 286-1,37.53840706,126.9890406,양팔줄당기기 등 7종,용산구청 공원녹지과,02-2199-7605
도원어린이공원,어린이공원,서울특별시 용산구 도원동 15-57,37.54052356,126.9567737,양팔줄당기기 등 8종,용산구청 공원녹지과,02-2199-7605
새꿈어린이공원,어린이공원,서울특별시 용산구 동자동 8,37.55256321,126.9744764,옆파도타기 등 6종,용산구청 공원녹지과,02-2199-7605
돌모루어린이공원,어린이공원,서울특별시 용산구 청파3가 118-102,37.54277172,126.9685903,온몸근육풀기 등 6종,용산구청 공원녹지과,02-2199-7605
문배어린이공원,어린이공원,서울특별시 용산구 문배동 24-1,37.53662808,126.969795,허리돌리기 등 3종,용산구청 공원녹지과,02-2199-7605
솔밭어린이공원,어린이공원,서울특별시 용산구 한강로1가 47-5,37.53656361,126.9737788,옆파도타기 등 5종,용산구청 공원녹지과,02-2199-7605
신창동어린이공원,어린이공원,서울특별시 용산구 신창동 100,37.53667041,126.9540891,허리돌리기 1종,용산구청 공원녹지과,02-2199-7605
서계가로어린이공원,어린이공원,서울특별시 용산구 서계동 276-7,37.5512847,126.9642518,온몸노젓기 등 3종,용산구청 공원녹지과,02-2199-7605
이태원마을숲소공원,소공원,서울특별시 용산구 이태원2동 260-93,37.54124846,126.9915143,허리돌리기 등 8종,용산구청 공원녹지과,02-2199-7605
한남소공원,소공원,서울특별시 용산구 한남동 15-5,37.53723823,127.0138818,허리돌리기 1종,용산구청 공원녹지과,02-2199-7605
독서당소공원,소공원,서울특별시 용산구 한남동 1-32,37.53446933,127.0124813,온몸역기 등 4종,용산구청 공원녹지과,02-2199-7605
이태원어린이놀이터,소공원,서울특별시 용산구 이태원동 190-11,37.53568455,126.9899372,하늘걷기 등 2종,용산구청 공원녹지과,02-2199-7605
이촌소공원,소공원,서울특별시 용산구 이촌동 301-60,37.51876588,126.9797915,마라톤운동 등 7종,용산구청 공원녹지과,02-2199-7605
새푸리소공원,소공원,서울특별시 용산구 이촌동 399,37.5215997,126.967852,허리돌리기 1종,용산구청 공원녹지과,02-2199-7605
강변소공원,소공원,서울특별시 용산구 이촌동 408,37.52133783,126.9750392,허리돌리기 등 8종,용산구청 공원녹지과,02-2199-7605
비상소공원,소공원,서울특별시 용산구 이촌동 417,37.52234239,126.971394,허리돌리기 등 4종,용산구청 공원녹지과,02-2199-7605
청탑소공원,소공원,서울특별시 용산구 이촌동 425,37.5178079,126.9773724,마라톤운동 등 8종,용산구청 공원녹지과,02-2199-7605
사촌소공원,소공원,서울특별시 용산구 이촌동 429,37.52062627,126.9709198,마라톤운동 등 4종,용산구청 공원녹지과,02-2199-7605
달님소공원,소공원,서울특별시 용산구 문배동 46,37.53842848,126.9696005,허리돌리기 등 3종,용산구청 공원녹지과,02-2199-7605
해님소공원,소공원,서울특별시 용산구 문배동 45,37.53914485,126.9701225,허리돌리기 등 3종,용산구청 공원녹지과,02-2199-7605
별님소공원,소공원,서울특별시 용산구 문배동 11-1,37.53816376,126.9692081,허리돌리기 등 4종,용산구청 공원녹지과,02-2199-7605
한강대로소공원,소공원,서울특별시 용산구 한강로3가 65-587,37.52410325,126.9635751,허리돌리기 등 4종,용산구청 공원녹지과,02-2199-7605
이촌한우리소공원,소공원,서울특별시 용산구 이촌동 301-164,37.51766236,126.9813903,허리돌리기 등 4종,용산구청 공원녹지과,02-2199-7605
